"ID","STATUS","NAME"
836,1,"Iredell County"
837,1,"Irion County"
838,1,"Iron County"
839,1,"Iroquois County"
840,1,"Irwin County"
841,1,"Isabella County"
842,1,"Isanti County"
843,0,"Island County"
844,1,"Isle of Wight County"
845,0,"Issaquena County"
846,1,"Itasca County"
847,1,"Itawamba County"
848,1,"Izard County"
849,0,"Jack County"
850,1,"Jackson County"
851,1,"Jackson Parish"
852,1,"James City"
853,1,"James City County"
854,0,"Jasper County"
855,1,"Jay County"
856,0,"Jeff Davis County"
857,0,"Jefferson County"
858,1,"Jefferson Davis County"
859,1,"Jefferson Davis Parish"
860,1,"Jefferson Parish"
861,1,"Jenkins County"
862,0,"Jennings County"
863,1,"Jerauld County"
864,1,"Jerome County"
865,0,"Jersey County"
866,1,"Jessamine County"
867,1,"Jewell County"
868,1,"Jim Hogg County"
869,1,"Jim Wells County"
870,1,"Jo Daviess County"
871,0,"Johnson County"
872,1,"Johnston County"
873,1,"Jones County"
874,1,"Josephine County"
875,0,"Juab County"
876,0,"Judith Basin County"
877,1,"Juneau Borough"
878,1,"Juneau County"
879,1,"Juniata County"
880,1,"Kalamazoo County"
881,1,"Kalawao County"
882,1,"Kalkaska County"
883,1,"Kanabec County"
884,1,"Kanawha County"
885,0,"Kandiyohi County"
886,0,"Kane County"
887,1,"Kankakee County"
888,1,"Karnes County"
889,1,"Kauai County"
890,0,"Kaufman County"
891,0,"Kay County"
892,1,"Kearney County"
893,0,"Kearny County"
894,1,"Keith County"
895,1,"Kemper County"
896,1,"Kenai Peninsula Borough"
897,0,"Kendall County"
898,1,"Kenedy County"
899,0,"Kennebec County"
900,1,"Kenosha County"
901,0,"Kent County"
902,1,"Kenton County"
903,1,"Keokuk County"
904,0,"Kern County"
905,0,"Kerr County"
906,1,"Kershaw County"
907,0,"Ketchikan Gateway Borough"
908,1,"Kewaunee County"
909,1,"Keweenaw County"
910,0,"Keya Paha County"
911,0,"Kidder County"
912,0,"Kimball County"
913,0,"Kimble County"
914,1,"King and Queen County"
915,0,"King County"
916,0,"King George County"
917,1,"King William County"
918,1,"Kingfisher County"
919,1,"Kingman County"
920,1,"Kings County"
921,1,"Kingsbury County"
922,1,"Kinney County"
923,1,"Kiowa County"
924,0,"Kit Carson County"
925,0,"Kitsap County"
926,1,"Kittitas County"
927,1,"Kittson County"
928,1,"Klamath County"
929,1,"Kleberg County"
930,1,"Klickitat County"
931,0,"Knott County"
932,1,"Knox County"
933,1,"Kodiak Island Borough"
934,0,"Koochiching County"
935,1,"Kootenai County"
936,1,"Kosciusko County"
937,1,"Kossuth County"
938,1,"La Crosse County"
939,1,"La Paz County"
940,1,"La Plata County"
941,0,"La Porte County"
942,1,"La Salle County"
943,1,"La Salle Parish"
944,1,"Labette County"
945,1,"Lac Qui Parle County"
946,1,"Lackawanna County"
947,1,"Laclede County"
948,1,"Lafayette County"
949,1,"Lafayette Parish"
950,1,"Lafourche Parish"
951,0,"Lagrange County"
952,1,"Lake and Peninsula Borough"
953,1,"Lake County"
954,0,"Lake of the Woods County"
955,1,"Lamar County"
956,1,"Lamb County"
957,1,"Lamoille County"
958,1,"Lamoure County"
959,1,"Lampasas County"
960,0,"Lancaster County"
961,0,"Lander County"
962,0,"Lane County"
963,1,"Langlade County"
964,1,"Lanier County"
965,1,"Lapeer County"
966,0,"Laramie County"
967,1,"Larimer County"
968,0,"Larue County"
969,1,"Las Animas County"
970,1,"Lassen County"
971,1,"Latah County"
972,1,"Latimer County"
973,1,"Lauderdale County"
974,1,"Laurel County"
975,0,"Laurens County"
976,1,"Lavaca County"
977,0,"Lawrence County"
978,1,"Le Flore County"
979,1,"Le Sueur County"
980,1,"Lea County"
981,0,"Leake County"
982,0,"Leavenworth County"
983,1,"Lebanon County"
984,1,"Lee County"
985,1,"Leelanau County"
986,0,"Leflore County"
987,1,"Lehigh County"
988,0,"Lemhi County"
989,0,"Lenawee County"
990,1,"Lenoir County"
991,1,"Leon County"
992,0,"Leslie County"
993,1,"Letcher County"
994,1,"Levy County"
995,1,"Lewis and Clark County"
996,0,"Lewis County"
997,0,"Lexington County"
998,0,"Liberty County"
999,1,"Licking County"
1000,0,"Limestone County"
1001,1,"Lincoln County"
1002,1,"Lincoln Parish"
1003,1,"Linn County"
1004,1,"Lipscomb County"
1005,1,"Litchfield County"
1006,0,"Little River County"
1007,1,"Live Oak County"
1008,1,"Livingston County"
1009,1,"Livingston Parish"
1010,1,"Llano County"
1011,0,"Logan County"
1012,1,"Long County"
1013,1,"Lonoke County"
1014,0,"Lorain County"
1015,0,"Los Alamos County"
1016,0,"Los Angeles County"
1017,0,"Loudon County"
1018,0,"Loudoun County"
1019,0,"Louisa County"
1020,0,"Loup County"
1021,1,"Love County"
1022,0,"Loving County"
1023,1,"Lowndes County"
1024,1,"Lubbock County"
1025,0,"Lucas County"
1026,0,"Luce County"
1027,0,"Lumpkin County"
1028,0,"Luna County"
1029,1,"Lunenburg County"
1030,1,"Luzerne County"
